t,v_mps,v_kph,acc_mps2,P_req_shaft_W,P_brake_avail_shaft_W,P_engine_mech_W,P_motor_mech_W,P_batt_W,SOC,engine_on,fuel_total_L
193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52450281948284,False,0.0
201.0,0.23148148148148148,0.8333333333333334,0.23148148148148148,115.1902854775191,0.0,0.0,115.1902854775191,125.20683204078162,0.524454005903097,False,0.0
202.0,0.46296296296296297,1.6666666666666667,0.23148148148148148,230.40839660866587,0.0,0.0,230.40839660866587,250.4439093572455,0.5243563669520804,False,0.0
203.0,0.6944444444444444,2.5,0.23148148148148145,345.68215904706784,0.0,0.0,345.68215904706784,375.7414772250737,0.5242098790467297,False,0.0
204.0,0.9259259259259259,3.3333333333333335,0.2314814814814815,461.039398446353,0.0,0.0,461.039398446353,501.12978091994887,0.5240145068124528,False,0.0
205.0,1.1574074074074074,4.166666666666667,0.2314814814814815,576.5079404601487,0.0,0.0,576.5079404601487,626.6390657175529,0.5237702030831283,False,0.0
206.0,1.3888888888888888,5.0,0.2314814814814814,692.1156107420825,0.0,0.0,692.1156107420825,752.2995768935679,0.5234769089011034,False,0.0
207.0,1.6203703703703705,5.833333333333334,0.23148148148148162,807.890234945783,0.0,0.0,807.890234945783,878.1415597236772,0.5231345535171955,False,0.0
208.0,1.8518518518518519,6.666666666666667,0.2314814814814814,923.859638724876,0.0,0.0,923.859638724876,1004.1952594835609,0.5227430543906912,False,0.0
209.0,2.0833333333333335,7.500000000000001,0.23148148148148162,1040.0516477329916,0.0,0.0,1040.0516477329916,1130.490921448904,0.5223023171893466,False,0.0
210.0,2.314814814814815,8.333333333333334,0.2314814814814814,1156.4940876237547,0.0,0.0,1156.4940876237547,1257.0587908953855,0.5218122357893874,False,0.0
